epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.969,1.43534,1.22844,1.08327,0.95086,0.9667,0.97692,0.71943,0.95712,0.63148,0.92119,0.000554581,0.000554581,0.000554581
2,153.116,0.97575,0.61451,0.91452,0.95687,0.97073,0.98396,0.77674,0.79856,0.52881,0.87306,0.00103697,0.00103697,0.00103697
3,226.68,0.85941,0.53187,0.88592,0.96546,0.972,0.9878,0.83071,0.65149,0.44898,0.83925,0.00144601,0.00144601,0.00144601
4,300.69,0.77236,0.4819,0.86618,0.96446,0.97454,0.98897,0.85034,0.59511,0.4094,0.82565,0.00133693,0.00133693,0.00133693
5,374.179,0.71245,0.4459,0.85303,0.9734,0.9754,0.99244,0.87004,0.53789,0.35801,0.81049,0.00122691,0.00122691,0.00122691
6,439.653,0.61473,0.39814,0.83597,0.97051,0.9815,0.98991,0.8744,0.52958,inf,0.8077,0.00111689,0.00111689,0.00111689
7,503.789,0.55925,0.36939,0.8239,0.98248,0.98495,0.9933,0.89537,0.48959,0.3184,0.80215,0.00100687,0.00100687,0.00100687
8,567.814,0.53202,0.34601,0.81764,0.98789,0.98826,0.9939,0.91165,0.44308,0.2927,0.7958,0.000896846,0.000896846,0.000896846
9,632.88,0.49859,0.32859,0.81216,0.98861,0.99099,0.99289,0.90967,0.44053,0.29706,0.79355,0.000786824,0.000786824,0.000786824
10,697.687,0.47771,0.30894,0.80744,0.99233,0.99359,0.99415,0.93524,0.36918,0.25752,0.77865,0.000676802,0.000676802,0.000676802
11,762.887,0.45296,0.29568,0.8035,0.99462,0.99553,0.99444,0.92794,0.40328,0.25606,0.78488,0.00056678,0.00056678,0.00056678
12,827.51,0.43471,0.27914,0.79993,0.99645,0.99662,0.99433,0.9364,0.38494,0.24493,0.78281,0.000456758,0.000456758,0.000456758
13,892.128,0.41043,0.26802,0.79577,0.99757,0.99732,0.99447,0.9533,0.32887,0.22694,0.77309,0.000346736,0.000346736,0.000346736
14,956.81,0.38989,0.25694,0.79294,0.99781,0.99798,0.99446,0.95582,0.31587,0.22182,0.76956,0.000236714,0.000236714,0.000236714
15,1021.67,0.37118,0.24633,0.79096,0.99739,0.99792,0.99439,0.95987,0.30308,0.2164,0.76779,0.000126692,0.000126692,0.000126692
