epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6466,1.664,1.62179,1.30211,0,0,0,0,0,10387,0,0.00332375,0.00332375,0.00332375
2,152.713,1.21382,0.77331,1.05391,0,0,0,0,0,17329.9,0,0.00659118,0.00659118,0.00659118
3,225.746,1.11024,0.68793,1.00154,0,0,0,0,0,12731.1,0,0.00979261,0.00979261,0.00979261
4,298.199,0.99205,0.61259,0.95675,0,0,0,0,0,inf,0,0.009703,0.009703,0.009703
